;date;ward_A_nursing_staff_capacity;ward_A_planned_absences;ward_A_unplanned_absences;ward_B_nursing_staff_capacity;ward_B_planned_absences;ward_B_unplanned_absences;ward_C_nursing_staff_capacity;ward_C_planned_absences;ward_C_unplanned_absences;ward_D_nursing_staff_capacity;ward_D_planned_absences;ward_D_unplanned_absences
0;01.01.2022 12:00;9;50;5;12;38;5;7;38;3;9;32;1
1;01.01.2022 13:00;14;50;8;20;38;6;12;38;4;16;32;1
2;01.01.2022 14:00;14;50;8;20;38;6;12;38;4;16;32;1
3;01.01.2022 15:00;5;50;8;10;38;6;5;38;4;7;32;1
4;01.01.2022 16:00;5;50;8;9;38;6;5;38;4;7;32;1
5;01.01.2022 17:00;5;50;8;9;38;6;5;38;4;7;32;1
6;01.01.2022 18:00;5;50;8;9;38;6;5;38;4;7;32;1
7;01.01.2022 19:00;5;50;8;9;38;6;5;38;4;7;32;1
8;01.01.2022 20:00;10;50;8;12;38;7;7;38;4;11;32;1
9;01.01.2022 21:00;10;50;8;12;38;7;8;38;4;11;32;1
10;01.01.2022 22:00;5;50;8;4;38;7;3;38;4;4;32;1
11;01.01.2022 23:00;5;50;8;4;38;7;3;38;4;4;32;1
12;02.01.2022 00:00;5;50;8;4;38;7;3;38;4;4;31;1
13;02.01.2022 01:00;5;50;8;4;38;7;3;38;4;4;31;1
14;02.01.2022 02:00;5;50;8;4;38;7;3;38;4;4;31;1
15;02.01.2022 03:00;5;50;8;4;38;7;3;38;4;4;31;1
16;02.01.2022 04:00;5;50;8;4;38;7;3;38;4;4;31;1
17;02.01.2022 05:00;14;50;9;14;38;8;10;38;4;14;31;1
18;02.01.2022 06:00;14;50;8;14;38;6;10;38;4;14;31;1
19;02.01.2022 07:00;9;50;8;11;38;6;7;38;4;10;31;1
20;02.01.2022 08:00;9;50;8;11;38;6;7;38;4;10;31;1
21;02.01.2022 09:00;9;50;8;11;38;6;7;38;4;10;31;1
22;02.01.2022 10:00;9;50;8;11;38;6;7;38;4;10;31;1
23;02.01.2022 11:00;9;50;8;12;38;6;7;38;4;10;31;1
24;02.01.2022 12:00;9;50;8;12;38;6;7;38;4;10;31;1
25;02.01.2022 13:00;14;50;11;20;38;7;13;38;4;16;31;1
26;02.01.2022 14:00;14;50;8;20;38;6;13;38;3;16;31;1
27;02.01.2022 15:00;5;50;8;10;38;6;6;38;3;6;31;1
28;02.01.2022 16:00;5;50;8;9;38;6;6;38;3;6;31;1
29;02.01.2022 17:00;5;50;8;9;38;6;6;38;3;6;31;1
30;02.01.2022 18:00;5;50;8;9;38;6;6;38;3;6;31;1
31;02.01.2022 19:00;5;50;8;9;38;6;6;38;3;6;31;1
32;02.01.2022 20:00;10;50;8;12;38;7;8;38;3;10;31;1
33;02.01.2022 21:00;10;50;8;12;38;6;9;38;3;10;31;1
34;02.01.2022 22:00;5;50;8;4;38;6;3;38;3;4;31;1
35;02.01.2022 23:00;5;50;8;4;38;6;3;38;3;4;31;1
36;03.01.2022 00:00;5;62;7;4;49;8;3;38;0;4;38;2
37;03.01.2022 01:00;5;62;7;4;49;8;3;38;0;4;38;2
38;03.01.2022 02:00;5;62;7;4;49;8;3;38;0;4;38;2
39;03.01.2022 03:00;5;62;7;4;49;8;3;38;0;4;38;2
40;03.01.2022 04:00;5;62;7;4;49;8;3;38;0;4;38;2
41;03.01.2022 05:00;15;62;9;11;49;9;11;38;1;17;38;3
42;03.01.2022 06:00;15;62;8;13;49;8;13;38;1;17;38;3
43;03.01.2022 07:00;12;62;9;15;49;8;13;38;4;21;38;3
